id,title,description,image_path,price,category,color
46733,Gini and Jony Girls Navy Blue Capris,Gini and Jony Girls Navy Blue Capris,images/46733.jpg,13986,Capris,Navy Blue
12069,W Women Printed White Kurtas,W Women Printed White Kurtas,images/12069.jpg,7777,Kurtas,White
57346,Amante White Bra-BGEC01,Amante White Bra-BGEC01,images/57346.jpg,7298,Bra,White
19530,United Colors of Benetton Men Stripes Navy Blue Sweater,United Colors of Benetton Men Stripes Navy Blue Sweater,images/19530.jpg,4137,Sweaters,Navy Blue
5174,Inkfruit Women's Hip Huraa Red T-shirt,Inkfruit Women's Hip Huraa Red T-shirt,images/5174.jpg,9051,Tshirts,Red
25504,Doodle Kids Boys Soccer Blue T-Shirt,Doodle Kids Boys Soccer Blue T-Shirt,images/25504.jpg,4092,Tshirts,Blue
45969,Tokyo Talkies Women Grey Melange Printed Top,Tokyo Talkies Women Grey Melange Printed Top,images/45969.jpg,9897,Tops,Grey Melange
17512,Classic Polo Men Stripes Blue Polo T-Shirt,Classic Polo Men Stripes Blue Polo T-Shirt,images/17512.jpg,11822,Tshirts,Navy Blue
45634,Park Avenue Men Black Swank Briefs,Park Avenue Men Black Swank Briefs,images/45634.jpg,3946,Briefs,Black
27274,Mother Earth Women Printed Purple Kurti,Mother Earth Women Printed Purple Kurti,images/27274.jpg,12049,Kurtis,Purple
38559,Nike Men Polo Club Purple T-shirt,Nike Men Polo Club Purple T-shirt,images/38559.jpg,10842,Tshirts,Purple
29782,Basics Men Green Trousers,Basics Men Green Trousers,images/29782.jpg,8080,Trousers,Green
13472,United Colors of Benetton Women Solid White Dress,United Colors of Benetton Women Solid White Dress,images/13472.jpg,1891,Dresses,White
50979,Enamor Peach Lift Bra,Enamor Peach Lift Bra,images/50979.jpg,5297,Bra,Peach
27022,Jealous 21 Women Washed Blue Jeans,Jealous 21 Women Washed Blue Jeans,images/27022.jpg,3418,Jeans,Blue
53053,FNF Multi Coloured Printed Sari,FNF Multi Coloured Printed Sari,images/53053.jpg,9411,Sarees,Multi
11014,Wrangler Women Polka Blue Shirts,Wrangler Women Polka Blue Shirts,images/11014.jpg,2971,Shirts,Blue
30937,Fabindia Women Printed Green Kurti,Fabindia Women Printed Green Kurti,images/30937.jpg,3018,Kurtis,Green
14648,Probase Men White Grafitti Black Tshirts,Probase Men White Grafitti Black Tshirts,images/14648.jpg,14521,Tshirts,Black
26276,Proline Men Charcoal Grey Polo T-shirt,Proline Men Charcoal Grey Polo T-shirt,images/26276.jpg,9202,Tshirts,Charcoal
24359,Folklore Women Blue  Kurta,Folklore Women Blue  Kurta,images/24359.jpg,4489,Kurtas,Blue
31046,Arrow Sport Men Check Yellow Shirt,Arrow Sport Men Check Yellow Shirt,images/31046.jpg,10773,Shirts,Yellow
4232,Probase Men's Screw U Green T-shirt,Probase Men's Screw U Green T-shirt,images/4232.jpg,6473,Tshirts,Green
52257,Crusoe Men Red Boxer Briefs,Crusoe Men Red Boxer Briefs,images/52257.jpg,4466,Briefs,Red
30722,Fabindia Boys Printed Maroon Kurta,Fabindia Boys Printed Maroon Kurta,images/30722.jpg,10804,Kurtas,Maroon
6932,Tantra Men's Time Zone Grey T-shirt,Tantra Men's Time Zone Grey T-shirt,images/6932.jpg,7902,Tshirts,Grey
11265,Indigo Nation Men TR Yarn Dyed Black Trousers,Indigo Nation Men TR Yarn Dyed Black Trousers,images/11265.jpg,3736,Trousers,Black
46834,Gini and Jony Girls Blue Capris,Gini and Jony Girls Blue Capris,images/46834.jpg,13100,Capris,Blue
36238,W Women Blue Tunic,W Women Blue Tunic,images/36238.jpg,8778,Tunics,Blue
15645,Nike Black Dri-fit Cotton     Cricket  Shorts,Nike Black Dri-fit Cotton     Cricket  Shorts,images/15645.jpg,9758,Shorts,Black
5216,Disney Kids Boys Green T-shirt,Disney Kids Boys Green T-shirt,images/5216.jpg,6027,Tshirts,Green
55814,SDL by Sweet Dreams Women Pink & Purple Printed Night Suit S11-3225,SDL by Sweet Dreams Women Pink & Purple Printed Night Suit S11-3225,images/55814.jpg,11173,Night suits,Purple
34576,Tonga Women Printed Black Top,Tonga Women Printed Black Top,images/34576.jpg,7138,Tops,Black
16554,Basics Men Grey Printed T-shirt,Basics Men Grey Printed T-shirt,images/16554.jpg,12824,Tshirts,Grey
11331,United Colors of Benetton Men Washed Blue Jeans,United Colors of Benetton Men Washed Blue Jeans,images/11331.jpg,14851,Jeans,Blue
48091,French Connection Women Blue Shirt,French Connection Women Blue Shirt,images/48091.jpg,14803,Shirts,Blue
39167,Aneri Women Pink Printed Kurta,Aneri Women Pink Printed Kurta,images/39167.jpg,2795,Kurtas,Pink
19566,United Colors of Benetton Men Printed Blue TShirt,United Colors of Benetton Men Printed Blue TShirt,images/19566.jpg,9703,Tshirts,Blue
59443,Arrow Men Striped Beige Slim Fit Shirt,Arrow Men Striped Beige Slim Fit Shirt,images/59443.jpg,11309,Shirts,White
59084,Peri Peri Women White Bra,Peri Peri Women White Bra,images/59084.jpg,1659,Bra,White
9692,Classic Polo Men Ikon Navy Blue Polo Tshirts,Classic Polo Men Ikon Navy Blue Polo Tshirts,images/9692.jpg,10971,Tshirts,Navy Blue
8793,Scullers Men Red & Blue Check Shirt,Scullers Men Red & Blue Check Shirt,images/8793.jpg,6582,Shirts,Red
40198,Mumbai Slang Women White Printed Top,Mumbai Slang Women White Printed Top,images/40198.jpg,14948,Tops,White
36279,SDL by Sweet Dreams Women Pink Night suits,SDL by Sweet Dreams Women Pink Night suits,images/36279.jpg,1704,Night suits,Pink
19830,U.S. Polo Assn. Men Check Navy Blue Shirt,U.S. Polo Assn. Men Check Navy Blue Shirt,images/19830.jpg,1843,Shirts,Navy Blue
21858,Chhota Bheem Kids Boys I Like to Paint Navy Blue T-shirt,Chhota Bheem Kids Boys I Like to Paint Navy Blue T-shirt,images/21858.jpg,11265,Tshirts,Navy Blue
42413,Basics Men Grey Hip Brief,Basics Men Grey Hip Brief,images/42413.jpg,14832,Briefs,Grey
